Source,Date,Radio Flux (4.8/5.5 GHz),Radio Flux error (4.8/5.5 GHz),Radio Flux (8.4/9.0 GHz),Radio Flux error (8.4/9.0 GHz),X-ray Flux,X-ray Flux Error,X-ray Luminosity,X-ray Luminosity Error,Radio Luminosity,Radio Luminosity Error,Distance,Reference
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.45242076223e+36,-7.33059114106e+34,1.42031913907e+29,1.03546437033e+29,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,5.5360783608e+36,-1.36134078927e+35,3.47711941774e+29,1.00266365443e+29,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,3.31357884731e+36,5.03973353967e+33,2.20216862096e+29,2.02233900423e+29,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,3.46948124275e+36,-2.98477835928e+34,2.0527827468e+29,1.15062057223e+29,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.87538308025e+37,-5.75892955695e+35,2.1171562534e+30,3.42966122046e+29,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,3.10462904383e+37,-1.68961279461e+35,2.05779673227e+30,2.96797605616e+29,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,2.73151260099e+37,-4.72570758963e+34,8.64010807461e+29,2.57224591534e+29,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.77964633223e+37,-8.56295151573e+34,7.7826927695e+29,2.83606600922e+29,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00312909031e+37,-9.3058909585e+34,4.35303154904e+29,2.96797605616e+29,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,9.77593419153e+36,-3.7223563834e+34,6.92527746438e+29,2.11056075105e+29,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.87538308025e+37,-5.75892955695e+35,1.47739252573e+30,9.23370328584e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,3.10462904383e+37,-1.68961279461e+35,1.56972955859e+30,8.57415305114e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,2.73151260099e+37,-4.72570758963e+34,9.89325352054e+29,8.57415305114e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.77964633223e+37,-8.56295151573e+34,5.54022197151e+29,7.91460281644e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00312909031e+37,-9.3058909585e+34,3.75943633781e+29,5.93595211233e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,9.77593419153e+36,-3.7223563834e+34,3.42966122046e+29,4.61685164292e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,6.90197635593e+36,-6.66960481207e+34,4.81471671333e+29,7.91460281644e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,5.90361892823e+36,-6.79674702599e+34,2.70415596228e+29,4.61685164292e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.84538211327e+36,-3.50483596923e+34,2.96797605616e+29,3.95730140822e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.62096078736e+36,-5.74973855354e+34,2.17651577452e+29,3.95730140822e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.62096078736e+36,-5.74973855354e+34,2.37438084493e+29,3.95730140822e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,3.69002702889e+36,-5.15615291627e+34,1.45101051635e+29,2.63820093881e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,5.0138225692e+36,-9.89334926016e+34,6.59550234703e+28,3.29775117351e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.75997471403e+36,-2.92044133537e+34,1.121235399e+29,3.95730140822e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,4.87538308025e+37,-5.75892955695e+35,7.51887267561e+29,7.91460281644e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,3.10462904383e+37,-1.68961279461e+35,1.59611156798e+30,3.29775117351e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,2.73151260099e+37,-4.72570758963e+34,1.19378592481e+30,5.93595211233e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.77964633223e+37,-8.56295151573e+34,3.0998861031e+29,6.59550234703e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.77964633223e+37,-8.56295151573e+34,3.75943633781e+29,4.61685164292e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,1.00312909031e+37,-9.3058909585e+34,4.08921145516e+29,4.61685164292e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,9.77593419153e+36,-3.7223563834e+34,4.2211215021e+29,4.61685164292e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,6.90197635593e+36,-6.66960481207e+34,2.4403358684e+29,4.61685164292e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,5.90361892823e+36,-6.79674702599e+34,2.96797605616e+29,5.93595211233e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,7.11463319746e+36,-6.61216104072e+34,1.84674065717e+29,3.29775117351e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,5.67434168885e+36,-4.6491158945e+34,2.57224591534e+29,3.29775117351e+28,8,Rushtonetal.(2016)
SwiftJ1753,-1.0,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,6.53355498401e+36,-7.44547868375e+34,2.77011098575e+29,3.29775117351e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,6.85509048599e+35,7.8213561065e+34,1.97930745533e+28,1.73439706899e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,6.85509048599e+35,7.8213561065e+34,2.62914038226e+28,1.17811249412e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,7.14412259479e+35,5.52911193655e+34,2.51806679082e+28,1.69202971231e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,7.58588869251e+35,6.90761833858e+34,5.94793286253e+28,2.97396643127e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,8.44620988594e+35,7.19118645352e+34,5.85807418717e+28,1.7186716729e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,7.28663628196e+35,5.8181659891e+34,2.23440847752e+28,1.65440022582e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,7.01721640011e+35,6.87909146303e+34,2.70701410935e+28,1.7341792159e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,7.03841954896e+35,5.65276497023e+34,1.847952635e+28,1.51713646463e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,9.23112138102e+35,2.18066568495e+35,3.25881478123e+28,1.62940739061e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,1.34074888785e+36,6.70374443927e+35,3.38309666486e+28,1.38997700366e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,6.17655680706e+35,7.70198210416e+34,3.1545292427e+28,9.75847892907e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.42943245022e+35,8.47747424437e+34,4.71426780969e+28,2.35713390484e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.62169810556e+35,6.12033143252e+34,2.36760742782e+28,9.41803388476e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.89358665932e+35,7.67548502552e+34,4.27912913579e+28,2.1395645679e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.64322492473e+35,8.30044303777e+34,2.31916897593e+28,9.16180297449e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.91028036746e+35,6.5450527221e+34,2.75345637408e+28,8.93218815117e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,6.1126840355e+35,8.12631937811e+34,3.07928868799e+28,1.89858591899e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.75879168637e+35,7.8685900293e+34,1.8143910048e+28,9.28735398653e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.73295840617e+35,9.46856373256e+34,1.50443654194e+28,8.63773356933e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.45036813727e+35,6.51943339347e+34,2.76485533462e+28,1.38242766731e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.97126474819e+35,5.59560150036e+34,2.50718489547e+28,6.73795085353e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.22119444286e+35,8.96232141013e+34,4.41712441584e+28,2.20856220792e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.45594733582e+35,8.34652491368e+34,1.17321566001e+28,6.76523928929e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.70290913824e+35,1.85145456912e+35,2.32023731024e+28,8.89055356174e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.0863994699e+35,1.54319973495e+35,1.25040137784e+28,7.38845933043e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.89351390362e+35,7.45582808371e+34,2.05714788593e+28,9.02616936736e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.52852898865e+35,1.26426449432e+35,2.56527179629e+28,7.15290335401e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.69900315066e+35,1.23085787726e+35,1.07091927402e+28,7.80730657534e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.96175213238e+35,8.27251961535e+34,2.05737924888e+28,1.08092414436e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.05441375537e+35,1.1914633593e+35,1.34287913085e+28,1.31378106109e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.90434863039e+35,7.6541995876e+34,1.1553883821e+28,8.09456495766e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.99470615959e+35,1.99735307979e+35,1.20453784251e+28,7.62116937389e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.95012194465e+35,1.0364143047e+35,2.03802100018e+28,6.39044711068e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.38509510248e+35,8.53024896416e+34,2.00363996527e+28,7.73873701477e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.78177497729e+35,1.89088748864e+35,1.93067114136e+28,9.77433966706e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.10895081026e+35,8.87739909596e+34,2.88134989359e+28,1.4406749468e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.28719440907e+35,8.47687079123e+34,1.25413015734e+28,9.045775197e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.43083819939e+35,9.62814965756e+34,2.92503248742e+28,9.25568163402e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.69666614124e+35,1.12562113614e+35,2.57771455327e+28,1.294379102e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.44730833323e+35,1.086857501e+35,2.61496318523e+28,9.81220634788e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.66541275469e+35,5.41977720003e+34,6.95395091455e+28,3.47697545728e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.82069770461e+35,1.01930915124e+35,4.97458581792e+28,2.48729290896e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.79945750334e+35,1.39972875167e+35,1.72250270052e+28,9.52575981254e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.4644382181e+35,2.73221910905e+35,5.00004386306e+28,3.53816243822e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,6.30522398771e+35,1.71703263992e+35,2.62930290359e+28,1.01833369165e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.9547287831e+35,6.96571441785e+34,3.12367794746e+28,1.17768663215e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.64580466454e+35,1.10371578727e+35,2.76601951355e+28,1.10568564618e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.78652993605e+35,1.15489958515e+35,2.72243991257e+28,1.36121995628e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.46929462202e+35,7.08975146716e+34,1.24196151926e+28,1.14285812636e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.80528356907e+35,8.04375601711e+34,1.29964644969e+28,1.02340944973e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.14237249131e+35,1.57118624566e+35,2.28512407883e+28,7.74780690512e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.21504335766e+35,2.10752167883e+35,1.98444204186e+28,8.63215659219e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.58533452343e+35,1.06059631767e+35,1.81844482555e+28,1.4552633582e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.31813509718e+35,2.15906754859e+35,2.54858296921e+28,7.64136666671e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,6.42350080253e+35,3.21175040126e+35,2.11596064841e+28,8.98057118483e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.2012352527e+35,2.10061762635e+35,1.46111874728e+28,6.89629205321e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.40388713706e+35,1.70194356853e+35,2.65912937457e+28,8.82817228395e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.16920007535e+35,7.15492440593e+34,2.51105537812e+28,8.71878789364e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.47267117193e+35,1.23633558596e+35,2.2104047514e+28,1.17913554107e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.25500292719e+35,2.1275014636e+35,2.70884680284e+28,6.80110693411e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,1.91615571726e+35,6.09964944774e+34,2.27022173015e+28,1.11952928063e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.47461867978e+35,6.20788699674e+34,1.56857626955e+28,1.05872777509e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.01239417157e+35,5.61562517262e+34,1.43099024654e+28,8.40288469243e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.48293536119e+35,6.26126516966e+34,1.49324673997e+28,7.98963475955e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.11576704305e+35,1.05788352153e+35,2.49038697656e+28,1.79184488856e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.55102681878e+35,5.75985047233e+34,1.0532680205e+28,7.56954506301e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,1.85746715674e+35,5.72561822166e+34,3.65367072394e+28,1.82683536197e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.34710903196e+35,5.18316871102e+34,1.50919840082e+28,8.54681500448e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.43700709154e+35,7.07334851371e+34,1.77660350269e+28,9.31852077375e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.8806164643e+35,6.06250965014e+34,2.46856632674e+28,8.91084142264e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.10032826549e+35,5.80066584813e+34,1.96445115242e+28,7.92226105836e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.00471934486e+35,1.50235967243e+35,1.52070120093e+28,8.39577632425e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.74536615852e+35,6.46018526731e+34,2.2186977642e+28,1.0679642443e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.86346058826e+35,8.26922805279e+34,1.87708056482e+28,6.48508290361e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.01703113799e+35,6.02421780564e+34,2.13019601653e+28,7.10444060152e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.64526020758e+35,2.82263010379e+35,1.86504312654e+28,6.46229910596e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.64526020758e+35,2.82263010379e+35,1.44147130592e+28,7.92639254264e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.75405039776e+35,1.37702519888e+35,1.71308576642e+28,8.65223553989e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.12977677856e+35,9.29043533844e+34,3.08685304831e+28,8.47129128844e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.55846440103e+35,5.985322508e+34,3.02687948645e+28,9.19275096825e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.28114476903e+35,8.25907906821e+34,1.98395649773e+28,1.45123633082e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.29413681843e+35,1.14706840921e+35,1.02206872109e+28,8.91661061245e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,2.94185598582e+35,7.02095780956e+34,1.75267126346e+28,7.01843359028e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.22257420085e+35,6.72175477244e+34,2.68179466448e+28,9.22832038948e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.04520835206e+35,1.59560141098e+35,2.17034268097e+28,9.36161393478e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.87998423234e+35,9.67494470535e+34,1.78545561011e+28,6.70851788735e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.63901307378e+35,9.39022454352e+34,1.79180843002e+28,6.935234462e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,6.45107312494e+35,1.26823905612e+35,2.28062825187e+28,6.16659066849e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.29874779367e+35,7.8965683111e+34,3.01389276968e+28,1.22536820238e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.60057994405e+35,7.71273454187e+34,2.54914778434e+28,1.11131566722e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.77777437963e+35,7.65611966576e+34,2.31263265042e+28,8.77882917657e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.16865292011e+35,7.75843240214e+34,2.21014081303e+28,8.0285829499e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.10338941867e+35,7.56017061701e+34,2.01069133924e+28,6.63926956729e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.91628746914e+35,2.95814373457e+35,3.8990579846e+28,8.61775919195e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.15387929013e+35,7.12930507731e+34,3.18033501222e+28,6.80294504499e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.81752548354e+35,7.00087927791e+34,3.52510786191e+28,7.66106115119e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,3.78330555388e+35,9.26168902537e+34,3.71241477576e+28,8.00221645836e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.17389747646e+35,7.44611797415e+34,2.46566074226e+28,8.49701277848e+27,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,4.01440616154e+35,8.08950873676e+34,3.45886244458e+28,1.090645904e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,6.17240395229e+35,1.0760337461e+35,3.55063962452e+28,1.06055086336e+28,8,Rushtonetal.(2016)
SwiftJ1753(BAT),-1.0,-1.00,-1.00,-1,-1.00,-1.000,-1.000,5.48245952314e+35,8.66591620119e+34,3.0348014485e+28,9.58167639664e+27,8,Rushtonetal.(2016)
