Class Lr Lr_ler Lr_uer Lx Lx_ler Lx_uer uplim
NS 2.456393e+28 0.0 0.0 3.71617e+36 0.0 0.0 None
NS 1.174333e+28 0.0 0.0 2.45984e+36 0.0 0.0 None
NS 1.460449e+28 0.0 0.0 2.134674e+36 0.0 0.0 None
NS 1.194196e+28 0.0 0.0 2.133731e+36 0.0 0.0 None
NS 1.910004e+28 0.0 0.0 1.685061e+36 0.0 0.0 None
NS 2.221225e+28 0.0 0.0 1.394384e+36 0.0 0.0 None
NS 2.00857e+28 0.0 0.0 2.20478e+36 0.0 0.0 None
NS 2.112223e+28 0.0 0.0 2.424388e+36 0.0 0.0 None
NS 9.51510867473e+27 2.56114795189e+27 2.92021582244e+27 3.360153676e+36 7.65258187044e+35 8.06329412763e+35 None
NS 1.65481336415e+28 3.21501585794e+27 3.60569311023e+27 5.27066788204e+36 1.60226284392e+36 1.63375892922e+36 None
NS 1.016259375e+29 1.70969071188e+28 1.90093465898e+28 1.6065474672e+37 2.84401213639e+36 3.24690758884e+36 None
NS 1.4078153455e+29 2.41243189478e+28 2.59453853746e+28 1.74024903471e+37 3.04506511589e+36 3.09823361485e+36 None
NS 7.88440493787e+27 0.0 0.0 8.339822043e+34 0.0 0.0 Lr
AMXP 1.615072e+28 0.0 0.0 5.059332e+35 0.0 0.0 None
AMXP 5.875954e+28 0.0 0.0 5.562366e+35 0.0 0.0 None
AMXP 2.415537e+28 0.0 0.0 8.126904e+35 0.0 0.0 None
AMXP 3.212519e+28 0.0 0.0 1.13242e+36 0.0 0.0 None
AMXP 1.039304e+29 0.0 0.0 1.603064e+36 0.0 0.0 None
AMXP 2.856644e+28 0.0 0.0 1.790516e+36 0.0 0.0 None
AMXP 2.583156e+28 0.0 0.0 2.305448e+36 0.0 0.0 None
AMXP 2.221225e+28 0.0 0.0 2.83106e+36 0.0 0.0 None
AMXP 3.212519e+28 0.0 0.0 3.015736e+36 0.0 0.0 None
AMXP 1.314383e+29 0.0 0.0 3.762255e+36 0.0 0.0 None
AMXP 1.130222e+29 0.0 0.0 4.007675e+36 0.0 0.0 None
CV 1.4e+26 9.7e+25 3.3e+26 1.36e+32 8.6e+31 2.3e+32 None
CV 6.4e+26 0.0 0.0 5e+30 0.0 0.0 None
