Name,Class,Lr,Lr_ler,Lr_uer,Lx,Lx_ler,Lx_uer,uplim,Ref
GX 339-4,BH,4.135147e+29,0.0,0.0,1.253658e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.632897e+29,0.0,0.0,1.67632e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.211724e+29,0.0,0.0,1.229301e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.6419e+29,0.0,0.0,6.504694e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,3.292803e+29,0.0,0.0,2.378368e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.500025e+29,0.0,0.0,2.879832e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.945051e+30,0.0,0.0,8.625167e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.362394e+30,0.0,0.0,1.186319e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.764423e+30,0.0,0.0,2.014449e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,3.453614e+30,0.0,0.0,2.351146e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,3.154964e+30,0.0,0.0,2.362608e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,3.897759e+30,0.0,0.0,2.866937e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.154292e+30,0.0,0.0,3.13916e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,5.268484e+30,0.0,0.0,4.03463e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,5.957675e+30,0.0,0.0,4.740976e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,7.458581e+30,0.0,0.0,5.447323e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.68381e+30,0.0,0.0,5.812675e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.404304e+30,0.0,0.0,6.173728e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,7.213535e+30,0.0,0.0,6.355688e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.270295e+30,0.0,0.0,6.334197e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.090339e+30,0.0,0.0,6.483203e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,8.15543e+30,0.0,0.0,7.011888e+37,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.703834e+30,0.0,0.0,4.627789e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.558338e+30,0.0,0.0,3.710828e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.474103e+30,0.0,0.0,2.908487e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.267346e+30,0.0,0.0,2.02018e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,9.725254e+29,0.0,0.0,1.384038e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,6.70047e+29,0.0,0.0,1.088892e+36,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,5.054069e+29,0.0,0.0,8.739787e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.250013e+29,0.0,0.0,7.16376e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,4.326589e+29,0.0,0.0,6.590659e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.412169e+29,0.0,0.0,3.438605e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,2.373881e+29,0.0,0.0,2.292403e+35,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.148652e+29,0.0,0.0,4.441531e+34,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
GX 339-4,BH,1.148652e+29,0.0,0.0,7.736861e+34,0.0,0.0,None,"Corbel et al. 2013, MNRAS, 428, 2500"
H 1743-322,BH,1.74978e+30,0.0,0.0,2.464333e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.469602e+30,0.0,0.0,3.624863e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,6.5052e+30,0.0,0.0,6.791245e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.350701e+30,0.0,0.0,8.969028e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,7.439437e+30,0.0,0.0,7.808498e+37,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.423448e+28,0.0,0.0,1.742226e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.18694e+29,0.0,0.0,3.940068e+35,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.259016e+29,0.0,0.0,4.728082e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.68469e+29,0.0,0.0,9.814351e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.990997e+29,0.0,0.0,7.092122e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.837843e+29,0.0,0.0,5.229545e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,1.722978e+29,0.0,0.0,4.359005e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,2.144151e+29,0.0,0.0,3.667845e+36,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
H 1743-322,BH,8.806333e+28,0.0,0.0,2.492988e+35,0.0,0.0,None,"Coriat et al. 2011, MNRAS, 414, 677"
